1;141538;539264;0
2;711338;898755;2
3;425019;605871;2
4;935076;697031;1
5;208061;538603;2
6;674574;81305;1
7;87220;141619;2
8;398002;258989;2
9;972902;378978;1
10;333951;644627;2
11;196858;865035;1
12;70489;715019;1
13;995770;272736;0
14;499433;895171;2
15;293719;442742;0
16;117646;85539;0
17;736914;172774;0
18;254249;155047;0
19;451525;402839;2
20;973017;720945;2
21;268862;300551;2
22;773802;180670;0
23;611941;820310;0
24;445894;725653;0
25;916152;460514;0
26;797822;560963;2
27;543806;641857;2
28;544079;142273;0
29;67437;275304;1
30;400829;769081;1
31;781369;234567;1
32;339849;369806;1
33;528663;885639;1
34;634241;640772;2
35;827358;784976;1
36;422855;189370;0
37;616082;162164;0
38;685309;193667;0
39;418130;106967;2
40;596702;409874;1
41;983890;178930;0
42;81287;784949;0
43;298034;629505;2
44;785528;331891;1
45;139221;394307;1
46;105005;893520;1
47;223839;331866;0
48;975848;154544;1
49;433532;222365;0
50;937225;219820;0
51;156227;426160;2
52;404636;764849;1
53;793214;832618;1
54;436891;363110;0
55;118357;483930;2
56;453737;280613;1
57;828804;319481;2
58;419934;702735;1
59;389836;397024;1
60;627956;783061;1
61;535757;592783;0
62;831266;618024;1
63;128697;891720;2
64;392614;787646;1
65;868444;689875;1
66;370345;216858;0
67;449009;862582;0
68;72664;640086;1
69;167032;782400;1
70;510801;214535;0
71;973876;165690;2
72;296401;411608;1
73;233907;335329;2
74;205748;509979;1
75;509478;842045;2
76;677409;796517;1
77;724625;552108;2
78;952607;380312;0
79;996613;393386;1
80;279103;510721;2
81;878922;873647;0
82;742831;735376;0
83;643283;282027;2
84;796217;125019;1
85;943220;243483;2
86;60691;123166;2
87;941972;152124;2
88;938752;599745;0
89;953528;591099;2
90;962468;665727;0
91;200898;723812;1
92;495768;238606;2
93;435216;684847;1
94;593569;415661;1
95;170144;161363;0
96;881439;399709;0
97;593403;279643;0
98;698374;553974;0
99;650517;385295;0
100;189209;705219;2
101;605769;692047;1
102;661459;871923;1
103;909782;502877;0
104;621178;360701;1
105;327664;432611;1
106;575468;472772;2
107;780209;558202;2
108;130737;274012;0
109;151270;333209;1
110;684508;646234;1
111;429550;437315;1
112;616920;198249;1
113;927821;841608;0
114;176622;123776;1
115;838816;420176;1
116;480635;322240;1
117;482116;150475;1
118;252487;179886;1
119;319565;712209;0
120;730890;517820;2
121;593405;461022;0
122;548099;709930;2
123;118042;232550;1
124;86838;328042;2
125;549060;620937;0
126;549642;144470;0
127;639917;317185;1
128;58473;704097;1
129;422998;133036;0
130;568998;890619;2
131;904290;278972;0
132;465081;279335;2
133;187817;612459;2
134;878772;789785;0
135;347917;786077;2
136;651945;420559;1
137;454888;404962;0
138;376194;648093;0
139;356874;294370;2
140;793527;268670;2
141;845149;725045;1
142;604020;269734;0
143;122771;774922;1
144;283962;443229;0
145;732363;247639;2
146;686882;449360;0
147;971903;174865;0
148;524222;271988;2
149;526880;847181;2
150;595885;525254;1
151;254839;487346;1
152;269034;578487;2
153;459493;199030;2
154;734162;585773;1
155;608800;275342;1
156;266339;603335;1
157;519614;243106;2
158;599366;515995;2
159;720845;330807;1
160;301762;656985;0
161;239073;104494;2
162;571211;460672;2
163;593181;323343;1
164;371791;639430;1
165;615570;793969;1
166;943680;887852;1
167;475697;649970;0
168;748312;720666;1
169;569259;794448;0
170;571739;381969;0
171;176788;662149;2
172;144743;344560;0
173;608962;320333;0
174;926100;717798;0
175;87275;879106;2
176;581051;636668;1
177;907816;818133;2
178;609834;426690;0
179;512671;874350;0
180;241562;375891;2
181;427001;195883;0
182;322305;429854;2
183;966160;270788;0
184;412304;164326;2
185;541867;800136;1
186;119146;818380;0
187;377296;134062;1
188;858906;173398;2
189;996616;178648;0
190;922604;356546;1
191;781030;120379;1
192;402507;516452;2
193;576051;401732;0
194;500391;497464;0
195;311971;504178;0
196;306666;531993;2
197;377923;266663;0
198;692087;268784;2
199;518663;382105;0
200;937388;150017;2
201;886719;512480;1
202;272617;497645;1
203;880121;666282;0
204;645248;121835;1
205;287072;223570;1
206;122384;535399;2
207;640609;767556;0
208;706898;203600;0
209;694274;524684;2
210;258340;278671;0
211;611992;137362;0
212;598674;447181;1
213;804977;629814;2
214;304673;359391;1
215;177166;138393;1
216;542086;402531;2
217;549026;817268;0
218;248631;165237;2
219;54669;516170;2
220;394836;840909;1
221;682637;126463;1
222;191211;372193;2
223;995123;497237;0
224;56128;631695;0
225;89108;434183;0
226;357879;285202;0
227;994822;833143;1
228;276582;558409;0
229;295527;236293;1
230;975339;108128;1
231;444915;488771;1
232;301501;264161;1
233;198821;348655;1
234;325261;581558;1
235;847706;155486;0
236;843584;512469;0
237;645412;101509;1
238;251626;388194;2
239;381377;164824;1
240;604467;159658;2
241;889495;109398;2
242;818898;361951;2
243;317131;689091;2
244;881670;890985;0
245;135972;118317;0
246;437560;143988;0
247;782710;709110;1
248;184694;379294;0
249;623575;604144;1
250;737263;610347;0
251;606242;282358;0
252;257361;649123;2
253;114598;420473;1
254;117737;339531;1
255;62725;769655;1
256;806101;763658;2
257;157477;857447;2
258;363343;819451;0
259;708379;397592;1
260;394618;694292;1
261;472620;418348;2
262;107194;421028;0
263;272964;256747;0
264;307010;419350;2
265;262877;510555;2
266;360431;406860;1
267;303921;863738;0
268;684182;415074;1
269;428685;485579;2
270;610433;221890;1
271;723169;365776;0
272;940011;183900;0
273;707618;335537;2
274;129239;146907;0
275;834901;154424;0
276;946622;555931;2
277;508287;617275;2
278;166528;734272;2
279;267673;866393;1
280;976970;427008;1
281;479481;601064;0
282;244961;271098;1
283;904047;250679;0
284;871808;847843;2
285;614028;284540;1
286;734670;729725;2
287;144900;862497;0
288;307551;354649;1
289;934414;388083;1
290;136906;270648;1
291;154568;327752;2
292;881514;853898;2
293;688178;300782;1
294;793753;401374;2
295;392888;695931;2
296;360710;505057;2
297;263122;184318;1
298;480161;225222;0
299;814853;505707;1
300;451221;253883;1
301;189732;339662;2
302;969837;827049;2
303;574187;440674;2
304;905022;96236;0
305;567684;151491;0
306;118576;739563;1
307;354887;593841;1
308;308175;422072;2
309;174117;650653;2
310;678648;461940;1
311;708668;484099;2
312;695738;222467;1
313;816034;238692;0
314;584444;467403;1
315;358521;648756;2
316;702894;282402;1
317;127196;231224;2
318;940538;529903;1
319;116644;299275;0
320;461102;270015;1
321;632068;633686;2
322;249851;888094;0
323;827387;881787;2
324;382007;295923;1
325;522903;564377;0
